LCLid,stdorToU,Acorn_grouped,cluster,avg_daily_mean,avg_daily_max,avg_daily_std,avg_daily_sum,avg_cv,avg_peak_ratio,avg_load_factor,variability
MAC003083,Std,Affluent,0,0.09275380882268583,0.7099053435114503,0.12716238841688182,4.44618778610687,1.3134179111519884,7.493657575535083,0.1653284820658508,0.03600740376862988
MAC001761,Std,Adversity,0,0.16838601132259062,0.8638699043887147,0.17603582441305987,8.043564261598746,0.9986156976193514,5.0319415636281555,0.2407183991080966,0.07712745319999062
MAC001140,Std,Affluent,0,0.13912485345418663,0.4956465258308158,0.09160846544047985,6.62996827794562,0.6451800816723076,3.5292852191711512,0.32122871204735826,0.03544172633183781
MAC004493,ToU,Adversity,1,0.5618316197083831,1.3564037269565217,0.2530905485159176,26.85546707863354,0.4765846231130411,2.5215345674250464,0.4465272498098325,0.21956507852838517
MAC002029,ToU,Affluent,0,0.2823096367785498,0.9460861231259967,0.2013215278615796,13.503840508293461,0.6654992569197375,3.2145055349786844,0.34176411176671734,0.1129830555468622
MAC001803,Std,Affluent,0,0.026051569638950577,0.12312302839116726,0.02978157856564964,1.2414321766561516,0.9302645001909416,3.718116370006244,0.37781985154308784,0.025578941904916306
MAC000976,ToU,Adversity,0,0.16360542506420775,0.5679476844544096,0.12175366968481216,7.838615845440957,0.6933799357952509,3.256490504892933,0.3508221700323794,0.04252366522662503
MAC000582,ToU,Adversity,1,0.39607819896872287,1.3000637692753627,0.27162459948044326,18.92240869304348,0.6780707910174639,3.2372612792055055,0.33784244003488506,0.12321095031647764
MAC004532,Std,Adversity,1,0.2891970228629641,1.5044657560398507,0.3187726719836763,13.849210461519302,1.1097339431078506,5.287417927979416,0.20662102536429872,0.07778243131866328
MAC002980,Std,Affluent,0,0.2640130216369203,0.9493371905785125,0.21967237201580384,12.65573223041322,0.8344735960383614,3.665820509541967,0.2894352189652504,0.07845691636871706
MAC003179,Std,Adversity,0,0.06818901433513577,0.3097214953271027,0.0610588201937768,3.269442990654205,0.8872771282316022,4.500014906623719,0.24992842335561982,0.011157792498080145
MAC000611,ToU,Comfortable,0,0.1135815879231901,0.6622917261248186,0.1253342598848464,5.440431058345428,1.0527894205934103,5.596070854354521,0.20994470990016767,0.03353964306010486
MAC004897,Std,Comfortable,1,0.37627636666489006,3.4827348783783787,0.7382586694424721,17.764718149163446,2.0091735421399495,10.143024337760918,0.10635010807674525,0.2567142675395471
MAC001099,Std,Affluent,1,0.37850682888134546,1.165417797586727,0.25149252586467497,18.11838461236802,0.6614350343524112,3.097254529233442,0.3405299338260164,0.10022517077200754
MAC000785,ToU,Affluent,0,0.33418155973246116,0.9471174754772389,0.1712710288344484,15.991177680323053,0.5000986208889047,2.8332741536706076,0.3846121885464473,0.09512581418329137
MAC004692,Std,Adversity,0,0.2522964382232316,1.047864321273032,0.2303255376849246,12.0959614760469,0.8452943149992838,4.023370081049598,0.2855226510663105,0.08302014360462437
MAC001529,ToU,Affluent,0,0.06119538169397803,0.3395879629629629,0.06093132291465643,2.928728395061729,0.9374575406553161,5.269738614665556,0.22602624759650786,0.016643680411357605
MAC004029,Std,Affluent,0,0.23039240389652613,0.7390629140728476,0.15685472838094633,11.008110925993376,0.673907036632317,3.214131568202431,0.3332506665030695,0.07773654459530593
MAC003999,Std,Comfortable,0,0.29392812976443805,0.938915188954635,0.15177428863089298,14.080706116568049,0.639191153113194,3.7702426656129386,0.3160216466636592,0.16668003529181954
MAC003750,Std,Comfortable,1,0.32693464038032316,1.3650540002,0.2684704168018306,15.6081039982,0.8234007249894757,4.243762528668504,0.25246659680766215,0.06752980659164608
MAC004202,Std,Comfortable,0,0.07389708226622008,0.2862145061728395,0.06694060036845657,3.5348425925925926,0.9165607027100046,3.910641514535408,0.30638297647040047,0.0249460998179173
MAC001319,ToU,Affluent,0,0.09668561203773361,0.489784733282443,0.0953212739720035,4.626687023358777,0.9769049831138429,5.098956618827028,0.22585478523758254,0.034560938678606684
MAC000041,Std,Adversity,0,0.1764786997119547,0.6888051477941177,0.15634301589214658,8.413280637745098,0.8574746117639966,3.882332734185684,0.28371531237574094,0.07839736845513584
MAC002957,Std,Comfortable,0,0.06489295249399213,0.3505867768595043,0.07404537641680561,3.1139123966942153,1.0674115785213927,4.972612668998402,0.24805187120048108,0.02871450250441855
MAC004376,Std,Adversity,0,0.12439457139865105,0.5527642951185495,0.09759430693224566,5.956984657880058,0.7275453531879172,4.0961906807416835,0.31426411259567927,0.032161452255348694
MAC005232,Std,Affluent,0,0.04587545381352253,0.3183320104497354,0.05992899204795732,2.1957804231481477,1.0948366532237113,5.038534753849947,0.3139929938640161,0.037720739821887644
MAC005439,Std,Adversity,0,0.10183270855677641,0.7061284677372263,0.15773434170286207,4.885140145839417,1.5543944908674483,7.052870067782455,0.15961351129982773,0.05642418190588952
MAC004358,Std,Adversity,0,0.09574679019328218,0.4044192201949861,0.08061016186020745,4.584612813649026,0.8332166648164469,4.174897779090383,0.2686860891210601,0.024334532129481393
MAC003617,ToU,Comfortable,0,0.07863348997626517,0.20181075697211148,0.039652182260534075,3.769482071713146,0.4907688724485772,2.5194455789648726,0.43917064093839797,0.011843244851476592
MAC005054,Std,Adversity,0,0.21385936113056178,0.8599610590342678,0.16866991259679562,10.23663084190031,0.8161680087614069,3.979778191537687,0.30615368761664896,0.0739893735378837
MAC005303,Std,Adversity,0,0.26020817072492086,0.9976506017402944,0.18409742303532076,12.455481926773759,0.8416263237073843,4.402641425488209,0.2917140643399091,0.16059984045589598
MAC003260,Std,Affluent,1,0.35204364778136954,1.2102287319470697,0.28630789192104344,16.8595009442344,0.8003256294341118,3.442290226329222,0.3039985563202153,0.10526315897812757
MAC003125,Std,Comfortable,0,0.13055357057008288,0.42533893129771,0.07475148126127358,6.246024427480918,0.5711979591023154,3.1559183817330823,0.3786109953030128,0.051394078327984614
MAC005122,ToU,Affluent,0,0.281456923281617,0.7874281240625001,0.14738658274451621,13.447673436875004,0.5129258747273854,2.8089813822660705,0.3842555638763765,0.09102423137258617
MAC004107,ToU,Comfortable,1,0.4346599011640828,1.0198621754977029,0.23271139276382535,20.789408880857582,0.5346534524633376,2.368492386260092,0.4456765105690124,0.1262126676158557
MAC003509,Std,Comfortable,0,0.060049145441309626,0.3745360621832359,0.0741077265417472,2.8792982454191027,1.2178693600175736,6.014339585359362,0.20602513959672014,0.016210655227403753
MAC004816,Std,Adversity,0,0.061279254591296045,0.1823836206896552,0.03277283746928355,2.9354482758620697,0.54858826844617,2.9649133649681088,0.40518111478116847,0.027531810152054206
MAC003912,Std,Affluent,0,0.15968210704010077,0.5002601617886179,0.11105548630742527,7.602601625203253,0.6713404375386883,3.0819859755914476,0.34650755806790634,0.05214215445929616
MAC000925,Std,Adversity,0,0.2992653369285088,1.0437116262790698,0.20930052171665156,14.295739530697677,0.6502062698865473,3.349521363257772,0.32688786483457205,0.08023288467810853
MAC000032,Std,Adversity,1,0.26962503214027544,1.9254663392900848,0.4465473894955353,12.793317009424724,1.71419630559429,8.199387302585137,0.14456512013883333,0.17492920475325363
